"","active_from","active_to","birth_date","college","height","name","position","weight","NBA__3ptapg","NBA__3ptpct","NBA__3ptpg","NBA_efgpct","NBA_fg%","NBA_fg_per_game","NBA_fga_per_game","NBA_ft%","NBA_ft_per_g","NBA_fta_p_g","NBA_g_played","NBA_ppg","NCAA__3ptapg","NCAA__3ptpct","NCAA__3ptpg","NCAA_efgpct","NCAA_fgapg","NCAA_fgpct","NCAA_fgpg","NCAA_ft","NCAA_ftapg","NCAA_ftpg"
"38",1991,1991,"December 12","University of Kansas","6-6","Rick Calloway","F","180","0.0",0,0,0.391,0.391,1.2,3,0.696,0.9,1.2,64,3.2,0.2,0.421,0.1,0,9.9,0.529,5.3,0.707,3.2,2.3
"39",1985,1990,"October 27","University of Virginia","6-5","Rick Carlisle","G","210","0.3",0.229,0.1,0.435,0.422,0.9,2.2,0.775,0.3,0.4,188,2.2,0,0,0,0,9.1,0.532,4.9,0.801,3.4,2.8
"40",2010,2018,"July 27","University of Missouri","6-8","DeMarre Carroll","F","215","3.1",0.364,1.1,0.512,0.436,3.2,7.3,0.738,1.4,1.9,487,8.9,0.7,0.281,0.2,0,8.4,0.535,4.5,0.603,3.5,2.1
"41",1981,1982,"October 10","St. John's University","6-3","Reggie Carter","G","175","0.0",0,0,0.388,0.388,1.3,3.4,0.772,0.9,1.1,135,3.5,0,0,0,0,11.9,0.472,5.6,0.816,4.6,3.8
"42",1998,2007,"August 26","Iowa State University","6-11","Kelvin Cato","C","255","0.0",0.077,0,0.507,0.507,2.1,4.1,0.644,1.3,2,541,5.5,0,0,0,0,7.9,0.434,3.4,0.584,3.8,2.2
"43",1991,2001,"August 2","Fullerton","6-6","Cedric Ceballos","F","190","1.2",0.309,0.4,0.518,0.5,5.6,11.2,0.753,2.7,3.6,609,14.3,2.7,0.305,0.8,0,18.2,0.463,8.4,0.671,6.7,4.5
"44",1999,2004,"April 16","Las Vegas","6-11","Keon Clark","F-C","220","0.1",0.053,0,0.5,0.5,3.3,6.7,0.645,1.5,2.3,353,8.2,0.7,0.37,0.3,0,10.4,0.554,5.8,0.638,4.7,3
"45",2015,2018,"June 7","University of Missouri","6-5","Jordan Clarkson","G","194","3.7",0.337,1.3,0.494,0.443,5.5,12.4,0.806,1.9,2.4,299,14.2,3.2,0.322,1,0,11.6,0.44,5.1,0.805,5.2,4.2
"46",1987,1994,"November 14","University of Maryland","6-9","Ben Coleman","F","235","0.0",0,0,0.516,0.516,2.6,5,0.759,1.4,1.9,227,6.6,0,0,0,0,8.5,0.548,4.7,0.674,3.2,2.1
"47",2001,2005,"September 8","Georgia Institute of Technology","7-0","Jason Collier","C","260","0.1",0.35,0,0.46,0.455,2.2,4.9,0.738,1,1.4,151,5.6,1.9,0.369,0.7,0,10.8,0.458,4.9,0.711,4.6,3.3
